;h+1_max;h+1_min;h+1_med;h+1_std;h+2_max;h+2_min;h+2_med;h+2_std;h+4_max;h+4_min;h+4_med;h+4_std;h+8_max;h+8_min;h+8_med;h+8_std
unemp;0.494770043;0.691925152;0.082746417;0.292329664;0.565852291;0.469187025;0.10232806;0.289313414;0.643658311;0.509319449;0.202583905;0.289373094;0.809763783;0.508766206;0.158219437;0.274561233
M1;0.394112516;0.80313801;0.243320074;0.328755058;0.513333231;0.502036458;0.12625881;0.236594412;0.47068009;0.827228672;0.222192301;0.358804779;0.756628075;0.712357717;0.109547855;0.392763579
cons_gov;0.641732767;0.432607727;0.078970723;0.274060292;0.395930172;0.692187822;0.193684419;0.234874103;0.815556888;0.506310408;0.123121577;0.319519568;0.729983703;0.736007859;0.107296022;0.412088647
interest_rate_short;0.65759319;0.520134025;0.228804752;0.304836137;0.663070128;0.309393748;0.314903222;0.246523686;0.662429102;0.699682964;0.286429914;0.276662576;0.696690671;0.707388501;0.116250476;0.393005911
invest_private_housing;0.586805331;0.556755611;0.061819035;0.302714301;0.391632413;0.43839585;0.023194003;0.228895187;0.495874809;0.709968779;0.195130879;0.275286126;0.646276778;0.316457435;0.031849394;0.214631074
earnings_hourly;0.481755694;0.392789635;0.075958943;0.257896405;0.604188268;0.539930107;0.128875527;0.275625744;0.461572074;0.507170151;0.009764299;0.257261381;0.632571027;0.418321545;0.052266571;0.235208037
infl_exp_5_year_ahead;0.619571262;0.253062766;0.28394072;0.228207077;0.633711992;0.60120056;0.160837203;0.268763668;0.667286503;0.31280435;0.103436472;0.22213485;0.584922365;0.360133551;0.007777288;0.247597257
interest_rate_long;0.585395704;0.140516527;0.197589785;0.189747767;0.365391505;0.593259656;0.141546196;0.206827559;0.55007636;0.699454271;0.083138717;0.272973395;0.551283019;0.450767854;0.005521882;0.228804282
infl_exp_next_year;0.730901988;0.162962818;0.423018729;0.182567139;0.654955717;0.038200929;0.356288271;0.193054815;0.557922577;0.1450881;0.379091741;0.167259825;0.529619199;0.544200692;0.026209438;0.226953313
M3;0.547273375;0.691054029;0.176092575;0.310194154;0.634911439;0.487791048;0.221076378;0.306431315;0.602700686;0.490309288;0.016349694;0.272915167;0.522491756;0.442507014;0.056338738;0.194738317
supply_index_global;0.261119903;0.532846874;0.118732872;0.206451473;0.352179663;0.651930494;0.249311021;0.245313713;0.491066622;0.332806519;0.094769685;0.254502751;0.517267798;0.321183859;0.15789421;0.174192489
business_conf_service;0.610341471;0.626531899;0.240256779;0.343285951;0.400346956;0.591542946;0.012475196;0.235883908;0.490964265;0.511257137;0.164726246;0.213705201;0.498184769;0.620631451;0.289682488;0.277149156
cons_private;0.637564207;0.402581886;0.042909772;0.217645182;0.755246312;0.53032691;0.142440525;0.342612261;0.4470987;0.703658715;0.004590341;0.313187787;0.496200866;0.493630201;0.029257925;0.330510751
business_conf_construct;0.593095883;0.57181028;0.177571056;0.304204575;0.594895728;0.695518149;0.255010381;0.349576976;0.584514244;0.642746676;0.084086823;0.308380316;0.494994185;0.604392884;0.075400443;0.300540894
infl_exp_2_year_ahead;0.780243821;0.06677813;0.279504275;0.185906999;0.703273711;0.135141649;0.291432341;0.235725413;0.550503188;0.311988409;0.191769052;0.200240874;0.471766592;0.332553921;0.074220287;0.209559743
infl_exp_1_year_ahead;0.822709709;0.291868138;0.440875201;0.242465693;0.696536336;0.130889694;0.341246383;0.217921534;0.576082211;0.244367741;0.330273886;0.215357022;0.470145669;0.42683408;0.035268684;0.238344284
GDP;0.702799978;0.275387599;0.278250414;0.223249991;0.471751687;0.392783882;0.034937267;0.228494641;0.217213555;0.588574502;0.247507656;0.190633379;0.451309888;0.713364893;0.161622367;0.252372544
business_conf_manufacturing;0.596973826;0.545642792;0.245206875;0.270440729;0.71612056;0.475930551;0.141540448;0.252495186;0.527729428;0.456008409;0.07202847;0.227662049;0.432713743;0.6625186;0.340007578;0.259918422
employment;0.804760892;0.478584591;0.168945145;0.352065932;0.717361027;0.41216457;0.134383718;0.268456071;0.346697451;0.595978105;0.158109976;0.240502213;0.421604936;0.547570523;0.103946747;0.228089274
infl_exp_current_year;0.746126388;0.046632107;0.41163515;0.136047292;0.776543997;0.310981608;0.442531042;0.253136658;0.572750061;0.250939863;0.33837764;0.210632371;0.416097996;0.367616659;0.073251142;0.178770252
retail;0.457745712;0.6134407;0.179734957;0.251451051;0.843730976;0.630267742;0.176578231;0.345581146;0.402115494;0.419094637;0.067192847;0.171611256;0.41599596;0.520257689;0.018850466;0.166250915
cons_conf_tendency;0.532395668;0.390335445;0.031900372;0.225253;0.527273632;0.674224193;0.078117131;0.317721953;0.410707339;0.523055941;0.024737621;0.225061154;0.409406982;0.59906062;0.055221323;0.219342022
residential_permits;0.39426228;0.824144878;0.026711849;0.27803421;0.441402739;0.62483407;0.024601821;0.276740557;0.488382042;0.648928268;0.025095635;0.240587426;0.405198479;0.565235766;0.039174536;0.2074382
invest_total;0.514754751;0.457654491;0.056096721;0.295575566;0.474051508;0.209872681;0.036295155;0.164445596;0.327027472;0.640437158;0.236012773;0.212217126;0.405059268;0.451859202;0.066620183;0.193413999
CPI_house_energy;0.732279674;0.111124523;0.285509163;0.215822557;0.659514317;0.264794433;0.067058045;0.239044341;0.714592161;0.324055009;0.147888977;0.233070869;0.396274948;0.492746875;0.270188426;0.193432758
invest;0.519576332;0.309941104;0.135310001;0.24132882;0.523029888;0.424497116;0.046572197;0.232933663;0.170395731;0.69447109;0.242260082;0.206905005;0.395740847;0.525680876;0.168291129;0.199402994
supply_index_eu;0.458305896;0.579846798;0.02970726;0.249078781;0.234133974;0.606564936;0.229330886;0.196051122;0.256288403;0.318419811;0.038801911;0.1517194;0.395705224;0.469871409;0.056429835;0.179748862
business_situation;0.436298134;0.450084217;0.006103857;0.227890394;0.394770205;0.552114596;0.109790203;0.295762264;0.316224236;0.626091409;0.138925095;0.242970583;0.394672376;0.54301424;0.074402367;0.217555162
prod_constr;0.744595242;0.524134185;0.097802601;0.324565358;0.645972572;0.306940065;0.014132454;0.1686229;0.719761057;0.6420275;0.282470404;0.273757668;0.366245414;0.632020327;0.158653432;0.196144252
business_conf_retail;0.590471982;0.670548634;0.069137824;0.304187847;0.33875594;0.566350404;0.019585429;0.209384333;0.355002743;0.600783009;0.095531338;0.218121264;0.359201637;0.610707117;0.278503148;0.263015799
